,date,p_pv,p_uv,r_pv,r_uv,un
0,2018-11-01,6549.0,674.0,29.0,20.0,456
1,2018-11-02,3972.0,581.0,34.0,21.0,412
2,2018-11-03,1446.0,395.0,8.0,8.0,280
3,2018-11-04,1387.0,411.0,7.0,7.0,302
4,2018-11-05,3656.0,800.0,14.0,14.0,518
5,2018-11-06,4257.0,1012.0,33.0,33.0,602
6,2018-11-07,3813.0,856.0,25.0,25.0,513
7,2018-11-08,4176.0,875.0,29.0,29.0,514
8,2018-11-09,3518.0,650.0,24.0,24.0,353
9,2018-11-10,481.0,215.0,7.0,7.0,141
10,2018-11-11,600.0,192.0,4.0,4.0,162
11,2018-11-12,5119.0,1000.0,27.0,26.0,579
12,2018-11-13,4926.0,654.0,19.0,19.0,411
13,2018-11-14,5551.0,682.0,14.0,14.0,471
14,2018-11-15,3885.0,677.0,10.0,10.0,489
15,2018-11-16,3450.0,545.0,10.0,10.0,369
16,2018-11-17,631.0,206.0,3.0,3.0,186
17,2018-11-18,1239.0,303.0,9.0,9.0,282
18,2018-11-19,3480.0,831.0,19.0,19.0,725
19,2018-11-20,4166.0,997.0,24.0,24.0,811
20,2018-11-21,5482.0,984.0,20.0,20.0,801
21,2018-11-22,6496.0,1224.0,17.0,17.0,963
22,2018-11-23,5269.0,1087.0,11.0,11.0,867
23,2018-11-24,1870.0,409.0,12.0,12.0,336
24,2018-11-25,1800.0,376.0,6.0,6.0,351
25,2018-11-26,6324.0,1091.0,16.0,16.0,908
26,2018-11-27,6331.0,1194.0,30.0,30.0,922
27,2018-11-28,6484.0,1115.0,40.0,39.0,811
28,2018-11-29,6698.0,1393.0,18.0,18.0,1123
29,2018-11-30,5074.0,1119.0,16.0,16.0,873
30,2018-12-01,2055.0,420.0,4.0,4.0,367
31,2018-12-02,2101.0,494.0,5.0,5.0,467
32,2018-12-03,5307.0,1147.0,23.0,23.0,904
33,2018-12-04,6641.0,1345.0,22.0,22.0,1090
34,2018-12-05,6207.0,1020.0,10.0,10.0,795
35,2018-12-06,6410.0,1049.0,18.0,17.0,794
36,2018-12-07,6585.0,985.0,27.0,4.0,757
37,2018-12-08,2764.0,507.0,5.0,5.0,445
38,2018-12-09,1719.0,451.0,3.0,1.0,430
39,2018-12-10,7193.0,1204.0,38.0,10.0,922
40,2018-12-11,6497.0,1099.0,21.0,14.0,850
41,2018-12-12,5351.0,1124.0,16.0,13.0,876
42,2018-12-13,5420.0,1260.0,39.0,29.0,993
43,2018-12-14,4957.0,1085.0,20.0,17.0,813
44,2018-12-15,2036.0,456.0,5.0,3.0,413
45,2018-12-16,1891.0,492.0,3.0,2.0,477
46,2018-12-17,5053.0,1205.0,18.0,14.0,921
47,2018-12-18,5273.0,1221.0,23.0,19.0,944
48,2018-12-19,5810.0,1188.0,47.0,33.0,905
49,2018-12-20,5701.0,1174.0,49.0,33.0,890
50,2018-12-21,4651.0,1162.0,44.0,33.0,887
51,2018-12-22,1731.0,587.0,17.0,16.0,544
52,2018-12-23,1634.0,578.0,18.0,18.0,553
53,2018-12-24,4401.0,1136.0,28.0,26.0,981
54,2018-12-25,5172.0,1164.0,27.0,26.0,985
55,2018-12-26,7332.0,1225.0,27.0,27.0,1066
56,2018-12-27,4855.0,1170.0,27.0,26.0,1013
57,2018-12-28,6233.0,1152.0,41.0,40.0,972
58,2018-12-29,4868.0,1079.0,28.0,27.0,913
59,2018-12-30,1165.0,431.0,11.0,11.0,386
60,2018-12-31,1678.0,356.0,4.0,4.0,340
61,2019-01-01,2078.0,404.0,9.0,9.0,375
62,2019-01-02,4815.0,1036.0,23.0,23.0,870
63,2019-01-03,5885.0,1091.0,26.0,26.0,926
64,2019-01-04,5609.0,1232.0,33.0,32.0,1058
65,2019-01-05,2057.0,803.0,12.0,12.0,734
66,2019-01-06,2876.0,813.0,11.0,11.0,749
67,2019-01-07,6067.0,1183.0,35.0,33.0,994
68,2019-01-08,5737.0,1285.0,40.0,36.0,1106
69,2019-01-09,6375.0,1532.0,40.0,34.0,1315
70,2019-01-10,6082.0,1323.0,51.0,42.0,1097
71,2019-01-11,3841.0,1088.0,32.0,24.0,927
72,2019-01-12,2548.0,763.0,14.0,10.0,691
73,2019-01-13,2504.0,725.0,19.0,17.0,660
74,2019-01-14,8061.0,4844.0,28.0,24.0,5368
75,2019-01-15,6908.0,2629.0,35.0,31.0,1705
76,2019-01-16,5256.0,1258.0,26.0,22.0,1084
77,2019-01-17,5292.0,1457.0,51.0,47.0,1255
78,2019-01-18,3963.0,1113.0,25.0,21.0,916
79,2019-01-19,1627.0,604.0,21.0,16.0,570
80,2019-01-20,1911.0,672.0,14.0,11.0,670
81,2019-01-21,6176.0,1633.0,45.0,41.0,1470
82,2019-01-22,6011.0,1860.0,52.0,42.0,1658
83,2019-01-23,6309.0,1799.0,70.0,58.0,1522
84,2019-01-24,5947.0,1633.0,59.0,46.0,1425
85,2019-01-25,6356.0,1587.0,85.0,73.0,1384
86,2019-01-26,3022.0,625.0,20.0,17.0,576
87,2019-01-27,2832.0,604.0,22.0,16.0,567
88,2019-01-28,7044.0,1642.0,77.0,63.0,1411
89,2019-01-29,7406.0,1441.0,76.0,65.0,1230
90,2019-01-30,6072.0,1405.0,56.0,52.0,1212
91,2019-01-31,5404.0,1395.0,60.0,45.0,1261
92,2019-02-01,6040.0,1236.0,38.0,32.0,1060
93,2019-02-02,2061.0,566.0,10.0,8.0,507
94,2019-02-03,1079.0,487.0,4.0,4.0,440
95,2019-02-11,5295.0,1629.0,62.0,53.0,1464
96,2019-02-12,6395.0,1887.0,58.0,53.0,1615
97,2019-02-13,6706.0,1840.0,62.0,56.0,1605
98,2019-02-14,6864.0,1833.0,43.0,38.0,1549
99,2019-02-15,7492.0,1762.0,55.0,49.0,1485
100,2019-02-16,3000.0,828.0,23.0,19.0,754
101,2019-02-17,3021.0,833.0,13.0,10.0,794
102,2019-02-18,7562.0,1803.0,72.0,56.0,1521
103,2019-02-19,7316.0,1877.0,70.0,59.0,1563
104,2019-02-20,8738.0,2175.0,73.0,62.0,1870
105,2019-02-21,8750.0,2442.0,74.0,61.0,2123
106,2019-02-22,7601.0,2213.0,70.0,58.0,1917
107,2019-02-23,3143.0,766.0,23.0,19.0,688
108,2019-02-24,2916.0,754.0,19.0,16.0,695
109,2019-02-25,7451.0,2224.0,75.0,64.0,1909
110,2019-02-26,7682.0,2361.0,75.0,60.0,2070
111,2019-02-27,7070.0,2065.0,72.0,61.0,1774
112,2019-02-28,6428.0,1807.0,64.0,55.0,1300
113,2019-03-01,9296.0,2793.0,86.0,73.0,2247
114,2019-03-02,5086.0,1300.0,51.0,44.0,1165
115,2019-03-03,3448.0,1041.0,31.0,25.0,967
116,2019-03-04,9845.0,2406.0,93.0,85.0,2040
117,2019-03-05,8473.0,2337.0,75.0,71.0,2194
118,2019-03-06,8974.0,2649.0,84.0,72.0,2087
119,2019-03-07,10188.0,2457.0,97.0,76.0,2092
120,2019-03-08,8117.0,2200.0,84.0,68.0,1875
121,2019-03-09,3117.0,925.0,19.0,16.0,786
122,2019-03-10,2426.0,752.0,18.0,17.0,674
123,2019-03-11,8432.0,2234.0,73.0,62.0,1898
124,2019-03-12,8176.0,2224.0,75.0,66.0,1842
125,2019-03-13,8539.0,2220.0,104.0,89.0,1823
126,2019-03-14,8540.0,2193.0,91.0,77.0,1814
127,2019-03-15,8523.0,2247.0,90.0,79.0,2004
128,2019-03-16,2839.0,1056.0,21.0,19.0,801
129,2019-03-17,2580.0,736.0,21.0,18.0,674
130,2019-03-18,8827.0,2348.0,87.0,68.0,1981
131,2019-03-19,9380.0,2150.0,95.0,83.0,1765
132,2019-03-20,10427.0,2800.0,110.0,99.0,2419
133,2019-03-21,9391.0,2603.0,75.0,65.0,2170
134,2019-03-22,9523.0,2469.0,109.0,96.0,2138
135,2019-03-23,4220.0,1411.0,25.0,23.0,1267
136,2019-03-24,4299.0,1250.0,30.0,26.0,1161
137,2019-03-25,10365.0,3163.0,104.0,94.0,2767
138,2019-03-26,9904.0,2632.0,88.0,73.0,2239
139,2019-03-27,10746.0,2670.0,115.0,102.0,2284
140,2019-03-28,11566.0,2674.0,134.0,113.0,2269
141,2019-03-29,10243.0,2636.0,113.0,95.0,2225
142,2019-03-30,4757.0,1230.0,41.0,38.0,1114
143,2019-03-31,4114.0,1269.0,28.0,23.0,1133
144,2019-04-01,11572.0,2825.0,132.0,113.0,2361
145,2019-04-02,12002.0,2994.0,131.0,119.0,2517
146,2019-04-03,11880.0,3043.0,105.0,96.0,2644
147,2019-04-04,10714.0,2767.0,131.0,110.0,2419
148,2019-04-05,4774.0,3075.0,32.0,27.0,1514
149,2019-04-06,3674.0,1231.0,24.0,21.0,1104
150,2019-04-07,4321.0,1380.0,37.0,31.0,1292
151,2019-04-08,12746.0,3507.0,119.0,106.0,3058
152,2019-04-09,17106.0,3881.0,156.0,137.0,3721
153,2019-04-10,14077.0,1784.0,118.0,103.0,3754
154,2019-04-11,15854.0,4493.0,188.0,169.0,4079
155,2019-04-12,11666.0,3514.0,105.0,94.0,3068
156,2019-04-13,6939.0,2349.0,52.0,49.0,2233
157,2019-04-14,6962.0,2338.0,53.0,49.0,2114
158,2019-04-15,12633.0,3797.0,136.0,116.0,3402
159,2019-04-16,12841.0,3668.0,131.0,119.0,3288
160,2019-04-17,13719.0,3889.0,147.0,128.0,3433
161,2019-04-18,11593.0,3542.0,108.0,93.0,3009
162,2019-04-19,9115.0,2408.0,132.0,86.0,1838
163,2019-04-20,6154.0,2483.0,44.0,44.0,2162
164,2019-04-21,6023.0,2283.0,45.0,45.0,2059
165,2019-04-22,13332.0,3916.0,122.0,122.0,3470
166,2019-04-23,13211.0,4324.0,83.0,83.0,3730
167,2019-04-24,11135.0,3155.0,100.0,87.0,2390
168,2019-04-25,10652.0,2934.0,115.0,102.0,2501
169,2019-04-26,9036.0,2616.0,86.0,74.0,1984
170,2019-04-27,3142.0,1177.0,2.0,2.0,1228
171,2019-04-28,9779.0,2564.0,113.0,91.0,2125
172,2019-04-29,10272.0,2711.0,124.0,104.0,2222
173,2019-04-30,10657.0,2308.0,56.0,54.0,1892
174,2019-05-01,5342.0,1231.0,17.0,16.0,1204
175,2019-05-02,6262.0,1559.0,28.0,26.0,1435
176,2019-05-03,6460.0,1629.0,22.0,20.0,1496
177,2019-05-04,5819.0,1031.0,15.0,14.0,804
178,2019-05-05,15628.0,3257.0,92.0,89.0,2769
179,2019-05-06,15574.0,3816.0,101.0,97.0,3195
180,2019-05-07,16658.0,3743.0,124.0,121.0,3055
181,2019-05-08,14158.0,3469.0,118.0,114.0,2737
182,2019-05-09,12468.0,3202.0,110.0,106.0,2570
183,2019-05-10,12049.0,2497.0,76.0,75.0,1938
184,2019-05-11,6380.0,1561.0,29.0,28.0,1368
185,2019-05-12,4457.0,1527.0,24.0,24.0,1282
186,2019-05-13,9829.0,2694.0,106.0,100.0,2160
187,2019-05-14,11437.0,2959.0,91.0,89.0,2346
188,2019-05-15,12812.0,3492.0,85.0,84.0,3053
189,2019-05-16,14656.0,3623.0,102.0,98.0,3066
190,2019-05-17,13404.0,3383.0,75.0,75.0,2775
191,2019-05-18,9523.0,2811.0,51.0,49.0,2522
192,2019-05-19,7936.0,2736.0,47.0,46.0,2519
193,2019-05-20,,,,,3507
194,2019-05-21,,,,,3112
195,2019-05-22,,,,,2598
196,2019-05-23,,,,,3502
197,2019-05-24,,,,,3100
198,2019-05-25,,,,,2314
199,2019-05-26,,,,,2450
